SpecObjID,ra,dec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,class,z,zErr
1.68553E+18,14.248497,-1.265076,20.59068,18.59468,17.81082,17.45049,17.15184,0.4509537,0.02712034,0.0286846,0.04974444,0.09483081,GALAXY,0.0473103,4.86E-05
1.68554E+18,14.042724,-1.267667,18.83832,17.10379,16.20441,15.7935,15.43898,0.06096254,0.006380454,0.005562371,0.005696661,0.01024542,GALAXY,0.04569421,1.38E-05
1.68554E+18,14.148621,-1.265532,19.30492,17.49313,16.66209,16.24378,15.96063,0.1609981,0.01331789,0.01153778,0.01204408,0.02825924,GALAXY,0.04425482,1.91E-05
4.92156E+18,14.122206,-1.3401355,19.1269,17.32334,16.4655,16.04445,15.71305,0.06621417,0.005206143,0.00419033,0.004339312,0.01067451,GALAXY,0.04398634,1.16E-05
8.86222E+18,14.049658,-1.277782,20.04897,18.28249,17.49451,17.11598,16.87132,0.2839404,0.02113473,0.0174423,0.0194333,0.05468791,GALAXY,0.04805176,2.47E-05
8.86316E+18,14.049658,-1.277782,20.04897,18.28249,17.49451,17.11598,16.87132,0.2839404,0.02113473,0.0174423,0.0194333,0.05468791,GALAXY,0.04794792,2.72E-05
8.86318E+18,13.963241,-1.306363,19.77084,18.20802,17.35635,17.01357,16.71443,0.2091815,0.01853132,0.01440518,0.01631525,0.04622929,GALAXY,0.04407999,2.05E-05
8.86435E+18,14.170948,-1.307343,20.01788,18.1224,17.30659,16.91155,16.58669,0.1279034,0.009827762,0.008359054,0.00921048,0.02111145,GALAXY,0.04648535,1.44E-05
4.43618E+17,13.566362,-1.2393053,17.51728,15.8404,14.95494,14.55006,14.29964,0.05401091,0.006809295,0.004935692,0.005202883,0.01350971,GALAXY,0.04501117,1.03E-05
4.43619E+17,13.566362,-1.2393053,17.51728,15.8404,14.95494,14.55006,14.29964,0.05401091,0.006809295,0.004935692,0.005202883,0.01350971,GALAXY,0.04504612,1.18E-05
4.43619E+17,13.566362,-1.2393053,17.51728,15.8404,14.95494,14.55006,14.29964,0.05401091,0.006809295,0.004935692,0.005202883,0.01350971,GALAXY,0.04502115,6.33E-06
4.44787E+17,14.12166,-1.2254919,19.21796,17.34694,16.52205,16.13374,15.87328,0.1237391,0.1207163,0.1281532,0.1444992,0.1415123,GALAXY,0.04410823,1.70E-05
4.44797E+17,14.055868,-1.2383902,19.65783,17.82221,16.98811,16.5319,16.54689,0.1478855,0.02486653,0.02444335,0.02419243,0.03949388,GALAXY,0.04862541,2.44E-05
4.44798E+17,14.016865,-1.2174657,19.98106,18.44734,17.63335,17.29415,16.92852,0.1285888,0.02075559,0.01735402,0.01752585,0.03692438,GALAXY,0.0437005,3.23E-05
4.44799E+17,13.991359,-1.2398784,19.4486,17.69407,16.86147,16.46334,16.15447,0.06948008,0.01031737,0.007871135,0.008129686,0.01632116,GALAXY,0.04455142,1.68E-05
4.44801E+17,14.095168,-1.2097478,16.47653,14.72925,13.91592,13.49158,13.22345,0.02076676,0.01277284,0.01240611,0.01399553,0.01180654,GALAXY,0.0497863,9.34E-06
4.44802E+17,14.075611,-1.2418458,18.27381,16.26798,15.32318,14.87625,14.54226,0.03364618,0.006396979,0.005323809,0.005208235,0.00711661,GALAXY,0.04361263,1.17E-05
4.4481E+17,13.862497,-1.2230911,20.0946,18.277,17.4632,17.07455,16.78061,0.1085433,0.01813297,0.01178286,0.01937322,0.02812987,GALAXY,0.04347191,2.58E-05
4.4481E+17,13.845677,-1.2111926,18.43335,16.74478,15.90163,15.48395,15.1658,0.06698518,0.008425491,0.008538024,0.006843982,0.01637824,GALAXY,0.04177387,2.04E-05
4.44812E+17,13.884602,-1.2110671,19.14373,17.31183,16.46823,16.07893,15.83678,0.09390365,0.01285952,0.01038797,0.01094819,0.02209067,GALAXY,0.04589949,1.95E-05
4.44812E+17,13.898217,-1.2355131,19.63394,17.95927,17.13937,16.78495,16.47343,0.1210068,0.01602718,0.01459833,0.01549996,0.03401721,GALAXY,0.04106292,2.71E-05
4.44812E+17,13.936993,-1.2159327,19.40146,17.7372,16.93245,16.5416,16.26218,0.07070212,0.01765157,0.01591395,0.01593259,0.02054491,GALAXY,0.0417486,1.88E-05
7.79126E+17,14.244022,-1.2569252,18.8665,17.15565,16.29671,15.89191,15.58305,0.05858893,0.007398802,0.005219984,0.005352978,0.01334968,GALAXY,0.04450523,1.67E-05
7.79136E+17,14.084643,-1.2425305,19.95998,17.94336,17.07127,16.69109,16.41185,0.09517745,0.02619728,0.02589009,0.02721634,0.02276388,GALAXY,0.04226733,1.86E-05
7.79138E+17,14.067167,-1.2553826,15.97035,13.98748,13.08435,12.61295,12.54021,0.02858277,0.01060981,0.00953796,0.008619527,0.0122056,GALAXY,0.04450906,1.34E-05
7.79146E+17,13.981962,-1.2472039,17.36221,15.35935,14.47238,14.03796,13.72497,0.05307023,0.05438234,0.05324865,0.05493489,0.05141573,GALAXY,0.04069311,1.13E-05
7.79146E+17,13.879664,-1.2234307,19.16701,17.44706,16.63692,16.23834,16.08239,0.123607,0.01471068,0.01072392,0.01117751,0.03429522,GALAXY,0.04302018,2.30E-05
1.21942E+18,13.97926,-1.24685,19.46339,17.15014,16.27849,15.89472,15.61651,0.2367887,0.2960012,0.2946759,0.3112496,0.374652,GALAXY,0.04522017,1.88E-05
1.68553E+18,14.169446,-1.239239,20.77878,19.41655,18.80878,18.46993,17.99913,0.3860172,0.06055288,0.04912697,0.0489854,0.1106587,GALAXY,0.04040201,0.000160026
1.68555E+18,14.004425,-1.239103,20.49085,18.79172,17.99925,17.60171,17.33274,0.235001,0.02977672,0.02181132,0.02401222,0.06007063,GALAXY,0.04461171,4.68E-05
4.92154E+18,13.771095,-1.2525936,18.00858,16.16622,15.31978,14.9052,14.59836,0.04711988,0.03477185,0.02122451,0.01931852,0.01496524,GALAXY,0.04329377,1.04E-05
4.92154E+18,13.77312,-1.2337951,18.45679,16.79007,15.95777,15.5953,15.29359,0.09578825,0.07112995,0.08699444,0.0861961,0.08224892,GALAXY,0.04437992,1.10E-05
4.92156E+18,14.067158,-1.2553736,15.97035,13.98748,13.08435,12.61295,12.54021,0.02858277,0.01060981,0.00953796,0.008619527,0.0122056,GALAXY,0.04453976,1.16E-05
4.92156E+18,14.075334,-1.6258183,19.4274,17.23176,16.40152,15.9943,15.65918,0.2177071,0.01183147,0.008791598,0.009659017,0.02559632,GALAXY,0.0448034,1.77E-05
